N,lam,exec_time,succeed
10,80,0.0715,1
10,80,0.0746,1
10,80,0.0749,1
10,80,0.0743,1
10,80,0.0733,1
10,80,0.0724,1
10,80,0.0733,1
10,80,0.0752,1
10,80,0.0741,1
10,80,0.0727,1
10,80,0.0736,1
10,80,0.0728,1
10,80,0.0756,1
10,80,0.0727,1
10,80,0.0740,1
10,80,0.0733,1
10,80,0.0732,1
10,80,0.0748,1
10,80,0.0729,1
10,80,0.0732,1
10,80,0.0755,1
10,80,0.0747,1
10,80,0.0721,1
10,80,0.0745,1
10,80,0.0746,1
10,80,0.0746,1
10,80,0.0738,1
10,80,0.0752,1
10,80,0.0732,1
10,80,0.0742,1
10,80,0.0754,1
10,80,0.0756,1
10,80,0.0739,1
10,80,0.0724,1
20,80,0.3074,1
20,80,0.2993,1
20,80,0.3021,1
20,80,0.3086,1
20,80,0.3033,1
20,80,0.3042,1
20,80,0.3010,1
20,80,0.3153,1
20,80,0.3092,1
20,80,0.3044,1
20,80,0.3184,1
20,80,0.3160,1
20,80,0.3129,1
20,80,0.3132,1
20,80,0.3078,1
20,80,0.3150,1
20,80,0.3077,1
20,80,0.3020,1
20,80,0.3104,1
20,80,0.3047,1
20,80,0.3086,1
20,80,0.3103,1
20,80,0.3034,1
20,80,0.3096,1
20,80,0.3082,1
20,80,0.3111,1
20,80,0.3107,1
20,80,0.3185,1
20,80,0.3041,1
20,80,0.3065,1
20,80,0.3029,1
20,80,0.3108,1
20,80,0.3128,1
20,80,0.3154,1
20,80,0.3061,1
20,80,0.3188,1
20,80,0.3140,1
20,80,0.3048,1
20,80,0.3267,1
20,80,0.3074,1
20,80,0.3066,1
20,80,0.3189,1
20,80,0.3158,1
20,80,0.3120,1
20,80,0.3070,1
20,80,0.3173,1
20,80,0.3095,1
20,80,0.3162,1
20,80,0.3129,1
20,80,0.3208,1
20,80,0.3052,1
20,80,0.3092,1
20,80,0.3158,1
20,80,0.3110,1
20,80,0.3187,1
20,80,0.3149,1
20,80,0.3122,1
20,80,0.3152,1
20,80,0.3116,1
20,80,0.3180,1
20,80,0.3160,1
20,80,0.3213,1
20,80,0.3221,1
20,80,0.3037,1
20,80,0.3045,1
20,80,0.3106,1
20,80,0.3055,1
20,80,0.3080,1
20,80,0.3113,1
20,80,0.3083,1
20,80,0.3002,1
20,80,0.3063,1
20,80,0.3141,1
20,80,0.3140,1
20,80,0.3077,1
20,80,0.3141,1
20,80,0.3048,1
20,80,0.3242,1
20,80,0.3289,1
20,80,0.3217,1
20,80,0.3068,1
20,80,0.3112,1
20,80,0.3115,1
20,80,0.3064,1
20,80,0.3175,1
20,80,0.3105,1
20,80,0.3034,1
20,80,0.3161,1
20,80,0.3100,1
20,80,0.3151,1
20,80,0.3155,1
20,80,0.3209,1
20,80,0.3139,1
20,80,0.3185,1
20,80,0.3198,1
20,80,0.3217,1
20,80,0.3133,1
20,80,0.3245,1
20,80,0.3118,1
20,80,0.3247,1
10,80,0.0784,1
10,80,0.0746,1
10,80,0.0734,1
10,80,0.0738,1
10,80,0.0739,1
10,80,0.0727,1
10,80,0.0751,1
10,80,0.0737,1
10,80,0.0753,1
10,80,0.0719,1
10,80,0.0777,1
10,80,0.0754,1
10,80,0.0761,1
10,80,0.0764,1
10,80,0.0745,1
10,80,0.0739,1
10,80,0.0747,1
10,80,0.0745,1
10,80,0.0745,1
10,80,0.0752,1
10,80,0.0761,1
10,80,0.0748,1
10,80,0.0754,1
10,80,0.0742,1
10,80,0.0749,1
10,80,0.0747,1
10,80,0.0730,1
10,80,0.0727,1
10,80,0.0744,1
10,80,0.0751,1
10,80,0.0750,1
10,80,0.0732,1
10,80,0.0739,1
10,80,0.0740,1
10,80,0.0721,1
10,80,0.0717,1
10,80,0.0727,1
10,80,0.0749,1
10,80,0.0749,1
10,80,0.0749,1
10,80,0.0728,1
10,80,0.0745,1
10,80,0.0724,1
10,80,0.0723,1
10,80,0.0749,1
10,80,0.0725,1
10,80,0.0751,1
10,80,0.0741,1
10,80,0.0726,1
10,80,0.0750,1
10,80,0.0733,1
10,80,0.0742,1
10,80,0.0728,1
10,80,0.0715,1
10,80,0.0737,1
10,80,0.0731,1
10,80,0.0710,1
10,80,0.0728,1
10,80,0.0721,1
10,80,0.0728,1
10,80,0.0714,1
10,80,0.0710,1
10,80,0.0727,1
10,80,0.0749,1
10,80,0.0744,1
10,80,0.0746,1
10,80,0.0725,1
10,80,0.0734,1
10,80,0.0735,1
10,80,0.0724,1
10,80,0.0717,1
10,80,0.0718,1
10,80,0.0731,1
10,80,0.0753,1
10,80,0.0753,1
10,80,0.0741,1
